title,author,description,clean_desc,genres,desc_length,rating,num_ratings,reviews,isbn
Supercrooks,"Mark Millar,Leinil Francis Yu","When the market is flooded with competition and the authorities are always on your tail, what's an all-American super villain to do? Go to Spain, of course! Johnny Bolt convinces his villainous pals to pull off one last heist but will culture shock get to them before the policia do? And when Johnny's target is revealed as the greatest super villain of all time, things go horribly wrong - but it's too late to turn back. A massive secret in the American superhero community might just work in their favor, and if the Supercrooks can survive, it will mean an enormous payday!",when the market is flooded with competition and the authorities are always on your tail whats an allamerican super villain to do go to spain of course johnny bolt convinces his villainous pals to pull off one last heist but will culture shock get to them before the policia do and when johnnys target is revealed as the greatest super villain of all time things go horribly wrong but its too late to turn back a massive secret in the american superhero community might just work in their favor and if the supercrooks can survive it will mean an enormous payday,"['Sequential Art', 'Comics', 'Sequential Art', 'Graphic Novels', 'Comics', 'Superheroes', 'Mystery', 'Crime', 'Comics', 'Comic Book', 'Graphic Novels Comics', 'Fiction', 'Sequential Art', 'Comix', 'Superheroes', 'Marvel', 'Fantasy']",560,3.68,916,95,785166106
The Ugly Duckling,Iris Johansen,"If fate suddenly made you more beautiful than you ever dreamed possible, would it be the beginning of a fairy tale, or your worst nightmare?,The brutal attack should have killed anybody, but Nell Calder did more than survive. She emerged a woman transformed, with an exquisite beauty found only in fairy tales. Nell Calder deserved a happy ending. Instead, her descent into terror has just begun.,Her attacker is still on the hunt, determined to finish what he's started. And Nell, protected by a new face, is just as determined to fight back and take her revenge. But to catch her prey, she will have to expose herselfâ€”even if it makes her a killer's prime target.",if fate suddenly made you more beautiful than you ever dreamed possible would it be the beginning of a fairy tale or your worst nightmarethe brutal attack should have killed anybody but nell calder did more than survive she emerged a woman transformed with an exquisite beauty found only in fairy tales nell calder deserved a happy ending instead her descent into terror has just begunher attacker is still on the hunt determined to finish what hes started and nell protected by a new face is just as determined to fight back and take her revenge but to catch her prey she will have to expose herselfeven if it makes her a killers prime target,"['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Romance', 'Romance', 'Romantic Suspense', 'Thriller', 'Mystery Thriller', 'Mystery', 'Crime', 'Contemporary', 'Romance', 'Contemporary Romance']",643,4.09,12110,387,553569910
The Uninvited,Heather Graham,"1777: In the throes of the Revolutionary War, Landon Mansion is commandeered by British Lord ""Butcher"" Bedford. ,He stabs Lucy Tarleton - who spurned his king and his love - leaving her to die in her father's arms.,NOW: After the day's final tour, docent Allison Leigh makes her rounds while locking up... and finds a colleague slumped over Bedford's desk, impaled on his own replica bayonet.,Resident ghosts may be the stock-in-trade of stately Philadelphia homes, but Allison - a noted historian - is indignant at the prospect of ""ghost hunters"" investigating this apparent murder.,Agent Tyler Montague knows his hauntings and his history. But while Allison is skeptical of the newcomer, a second mysterious murder occurs. ,Has ""Butcher"" Bedford resurfaced? Or is there another malevolent force at work in Landon Mansion? Wary, yet deeply attracted, Allison has to trust in Tyler and work with him to discover just what uninvited guest â€” dead or alive â€” has taken over the house.,Or their lives could become history!",1777 in the throes of the revolutionary war landon mansion is commandeered by british lord butcher bedford he stabs lucy tarleton who spurned his king and his love leaving her to die in her fathers armsnow after the days final tour docent allison leigh makes her rounds while locking up and finds a colleague slumped over bedfords desk impaled on his own replica bayonetresident ghosts may be the stockintrade of stately philadelphia homes but allison a noted historian is indignant at the prospect of ghost hunters investigating this apparent murderagent tyler montague knows his hauntings and his history but while allison is skeptical of the newcomer a second mysterious murder occurs has butcher bedford resurfaced or is there another malevolent force at work in landon mansion wary yet deeply attracted allison has to trust in tyler and work with him to discover just what uninvited guest dead or alive has taken over the houseor their lives could become history,"['Fantasy', 'Paranormal', 'Mystery', 'Romance', 'Romance', 'Paranormal Romance', 'Suspense', 'Paranormal', 'Ghosts', 'Romance', 'Romantic Suspense', 'Fiction', 'Fantasy', 'Fantasy', 'Supernatural']",967,4.09,3544,234,1455863327
Last Stand of Dead Men,Derek Landy,"War has finally come.,But it's not a war between good and evil, or light and dark â€“ it's a war between Sanctuaries. For too long, the Irish Sanctuary has teetered on the brink of world-ending disaster, and the other Sanctuaries around the world have had enough. Allies turn to enemies, friends turn to foes, and Skulduggery and Valkyrie must team up with the rest of the Dead Men if they're going to have any chance at all of maintaining the balance of power and getting to the root of a vast conspiracy that has been years in the making.,But while this war is only beginning, another war rages within Valkyrie herself. Her own dark side, the insanely powerful being known as Darquesse, is on the verge of rising to the surface. And if Valkyrie slips, even for a moment, then Darquesse will burn the world and everyone in it.",war has finally comebut its not a war between good and evil or light and dark its a war between sanctuaries for too long the irish sanctuary has teetered on the brink of worldending disaster and the other sanctuaries around the world have had enough allies turn to enemies friends turn to foes and skulduggery and valkyrie must team up with the rest of the dead men if theyre going to have any chance at all of maintaining the balance of power and getting to the root of a vast conspiracy that has been years in the makingbut while this war is only beginning another war rages within valkyrie herself her own dark side the insanely powerful being known as darquesse is on the verge of rising to the surface and if valkyrie slips even for a moment then darquesse will burn the world and everyone in it,"['Fantasy', 'Young Adult', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Magic', 'Fiction', 'Mystery', 'Adventure', 'Fantasy', 'Paranormal', 'Horror', 'Humor']",800,4.59,10628,591,000748920X
Everblaze,Shannon Messenger,"A New York Times bestselling series,A USA TODAY bestselling series,A California Young Reader Medalâ€“winning series,Sophie uncovers shocking secretsâ€”and faces treacherous new enemiesâ€”in this electrifying third book in the Keeper of the Lost Cities series.,Sophie Foster is ready to fight back.,Her talents are getting stronger, and with the elusive Black Swan group ignoring her calls for help, sheâ€™s determined to find her kidnappersâ€”before they come after her again.,But a daring mistake leaves her world teetering on the edge of war, and causes many to fear that she has finally gone too far. And the deeper Sophie searches, the farther the conspiracy stretches, proving that her most dangerous enemy might be closer than she realizes.,In this nail-biting third book in the Keeper of the Lost Cities series, Sophie must fight the flames of rebellion, before they destroy everyone and everything she loves.",a new york times bestselling seriesa usa today bestselling seriesa california young reader medalwinning seriessophie uncovers shocking secretsand faces treacherous new enemiesin this electrifying third book in the keeper of the lost cities seriessophie foster is ready to fight backher talents are getting stronger and with the elusive black swan group ignoring her calls for help shes determined to find her kidnappersbefore they come after her againbut a daring mistake leaves her world teetering on the edge of war and causes many to fear that she has finally gone too far and the deeper sophie searches the farther the conspiracy stretches proving that her most dangerous enemy might be closer than she realizesin this nailbiting third book in the keeper of the lost cities series sophie must fight the flames of rebellion before they destroy everyone and everything she loves,"['Fantasy', 'Childrens', 'Middle Grade', 'Young Adult', 'Adventure', 'Fiction', 'Fantasy', 'Magic', 'Mystery', 'Childrens', 'Young Adult', 'Young Adult Fantasy', 'Fantasy', 'Elves']",880,4.59,20723,1518,1442445998
What the Corpse Revealed,Hugh    Miller,"The victim was shot through the heart--but no bullet was ever found.,In a case full of baffling twists, a gunshot wound to the heart leads to a brilliant investigator to one conclusion: a bullet designed to disappear...,The skin was peeled from the victim's hands,A beautiful woman almost gets away with murder because her victim cannot be identified. Then a forensic scientist leads police to the peeled skin from two boiled hands--and the fingerprints that will crack the case.,The murder weapon was smashed to smithereens,A man was killed by a blow from a bottle. Now, determined investigator carefully puts the pieces of glass back together to catch a kiler--and to carry out a crime of his own...,What the corpse revealed,Once detectives solved crimes with shoe leather and a gun. Now they use DNA samples, blood splatters, microbes and psychological profilings. This extraordinary book, through details drawn from some of the most baffling cases of the last fifty years, shows how a new generation fo real-life crime busters is catching stalkers, poisoners, mass murderers, and assassins--through the astounding art of forensic science.",the victim was shot through the heartbut no bullet was ever foundin a case full of baffling twists a gunshot wound to the heart leads to a brilliant investigator to one conclusion a bullet designed to disappearthe skin was peeled from the victims handsa beautiful woman almost gets away with murder because her victim cannot be identified then a forensic scientist leads police to the peeled skin from two boiled handsand the fingerprints that will crack the casethe murder weapon was smashed to smithereensa man was killed by a blow from a bottle now determined investigator carefully puts the pieces of glass back together to catch a kilerand to carry out a crime of his ownwhat the corpse revealedonce detectives solved crimes with shoe leather and a gun now they use dna samples blood splatters microbes and psychological profilings this extraordinary book through details drawn from some of the most baffling cases of the last fifty years shows how a new generation fo reallife crime busters is catching stalkers poisoners mass murderers and assassinsthrough the astounding art of forensic science,"['Crime', 'True Crime', 'Nonfiction', 'Mystery', 'Crime', 'Science', 'Mystery', 'Medical', 'Health', 'Medicine']",1102,3.77,328,22,312975732
The Men with the Golden Cuffs,Lexi Blake,"Librarian's note: See alternate cover edition of ISBN13 9781937608057 ,here,.,A woman in dangerâ€¦,Serena Brooks is a bestselling author of erotic fiction. She knows how to write a happy ending but hasnâ€™t managed to find one of her own. Divorced and alone, she has no one to turn to when a stalker begins to threaten her life. The cops donâ€™t believe her. Her ex-husband thinks sheâ€™s making the whole story up. She has no one left to turn to except a pair of hired bodyguards. They promise to guard her body, but no one can protect her heart.,Two men in search of loveâ€¦,Adam Miles and Jacob Dean are halves of a whole. Theyâ€™ve spent their entire adult lives searching for the one woman who can handle them both. Adam is the playful, indulgent lover, while Jacob is the possessive, loving Dom. When Serena comes into their lives, Adam is certain that sheâ€™s the one. But Jacobâ€™s past comes back to haunt them all. He is suspicious of Serenaâ€™s story, and his concerns are driving a wedge between him and Adam. But when the stalker strikes, they will have to come together or lose each other foreverâ€¦",librarians note see alternate cover edition of isbn13 9781937608057 herea woman in dangerserena brooks is a bestselling author of erotic fiction she knows how to write a happy ending but hasnt managed to find one of her own divorced and alone she has no one to turn to when a stalker begins to threaten her life the cops dont believe her her exhusband thinks shes making the whole story up she has no one left to turn to except a pair of hired bodyguards they promise to guard her body but no one can protect her hearttwo men in search of loveadam miles and jacob dean are halves of a whole theyve spent their entire adult lives searching for the one woman who can handle them both adam is the playful indulgent lover while jacob is the possessive loving dom when serena comes into their lives adam is certain that shes the one but jacobs past comes back to haunt them all he is suspicious of serenas story and his concerns are driving a wedge between him and adam but when the stalker strikes they will have to come together or lose each other forever,"['Erotica', 'BDSM', 'Erotica', 'Menage', 'Romance', 'Adult Fiction', 'Erotica', 'Romance', 'Erotic Romance', 'Romance', 'Romantic Suspense', 'Contemporary', 'Suspense', 'Romance', 'Contemporary Romance', 'Menage', 'M F M']",1052,4.28,9272,484,
The Raven's Gift,Don Rearden,"John Morgan and his wife can barely contain their excitement upon arriving as the new teachers in a Yup'ik Eskimo village on the windswept Alaskan tundra. But their move proves disastrous when a deadly epidemic strikes and the isolated community descends into total chaos. When outside aid fails to arrive, Johnâ€™s only hope lies in escaping the snow-covered tundra and the hunger of the other survivorsâ€”he must make the thousand-mile trek across the Alaskan wilderness for help. He encounters a blind Eskimo girl and an elderly woman who need his protection, and he needs their knowledge of the terrain to survive. The harsh journey pushes him beyond his limits as he discovers a new sense of hope and the possibility of loving again.",john morgan and his wife can barely contain their excitement upon arriving as the new teachers in a yupik eskimo village on the windswept alaskan tundra but their move proves disastrous when a deadly epidemic strikes and the isolated community descends into total chaos when outside aid fails to arrive johns only hope lies in escaping the snowcovered tundra and the hunger of the other survivorshe must make the thousandmile trek across the alaskan wilderness for help he encounters a blind eskimo girl and an elderly woman who need his protection and he needs their knowledge of the terrain to survive the harsh journey pushes him beyond his limits as he discovers a new sense of hope and the possibility of loving again,"['Fiction', 'Thriller', 'Science Fiction', 'Dystopia', 'Mystery', 'Science Fiction', 'Apocalyptic', 'Adult Fiction', 'Science Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Suspense', 'Adventure', 'Survival']",722,3.9,691,183,014318749X
The Mousetrap and Other Plays,Agatha Christie,"This special collection of Agatha Christie's greatest suspense plays includes The Mousetrap (the longest running play in history), Ten Little Indians, Witness for the Prosecution, Appointment with Death, The Hollow, Towards Zero, Go Back to Murder, and The Verdict.",this special collection of agatha christies greatest suspense plays includes the mousetrap the longest running play in history ten little indians witness for the prosecution appointment with death the hollow towards zero go back to murder and the verdict,"['Mystery', 'Plays', 'Fiction', 'Mystery', 'Crime', 'Classics', 'Drama', 'Plays', 'Theatre', 'European Literature', 'British Literature', 'Thriller', 'Mystery Thriller', 'Short Stories']",254,4.03,5447,196,451201183
Truth Stained Lies,Terri Blackstock,"When truth doesnâ€™t make sense, will lies prevail?,Cathy Cramer is a former lawyer and investigative blogger who writes commentary on high-profile homicides. When she finds a threatening note warning her that sheâ€™s about to experience the same kind of judgment and speculation that she dishes out in her blog, Cathy writes it off as mischief . . . until her brotherâ€™s wife is murdered and all the â€œfactsâ€ point to him. The killer has staged the crime to make the truth too far-fetched to believe. Working to solve the murder and clear her brotherâ€™s name, Cathy and her two sisters, Holly and Juliet, moonlight as part-time private investigators. Juliet, a stay-at-home mom of two boys, and Holly, a scattered neâ€™er-do-well who drives a taxi, put aside their fear to hunt down the real killer.,Stakes rise when their brotherâ€™s grieving five-year-old son is kidnapped. As police focus on the wrong set of clues, the three sisters and their battered detective friend are the only hope for solving this bizarre crime, saving the child, and freeing their brother.",when truth doesnt make sense will lies prevailcathy cramer is a former lawyer and investigative blogger who writes commentary on highprofile homicides when she finds a threatening note warning her that shes about to experience the same kind of judgment and speculation that she dishes out in her blog cathy writes it off as mischief until her brothers wife is murdered and all the facts point to him the killer has staged the crime to make the truth too farfetched to believe working to solve the murder and clear her brothers name cathy and her two sisters holly and juliet moonlight as parttime private investigators juliet a stayathome mom of two boys and holly a scattered neerdowell who drives a taxi put aside their fear to hunt down the real killerstakes rise when their brothers grieving fiveyearold son is kidnapped as police focus on the wrong set of clues the three sisters and their battered detective friend are the only hope for solving this bizarre crime saving the child and freeing their brother,"['Christian Fiction', 'Mystery', 'Christian', 'Suspense', 'Fiction', 'Thriller', 'Mystery Thriller', 'Thriller', 'Audiobook', 'Contemporary', 'Romance']",1012,4.13,4469,446,310283132
